killed,pov15,emp15,ab100k15,mdhinc15,snap15,bagrad15,nohs2515,wbrat15,rural15,pop15
1,20.4,64.7,0.119738752,38678,16.1,17.5,0.165617766,1.972228477,0.550704727,40158
0,21.4,54.8,0.082860881,32312,16.9,12.3,0.18062701,107.2450331,1,16780
5,20.1,72.9,0.181676905,43524,10.1,30.5,0.164850252,23.70229645,0.254179574,224233
1,19,64.2,0.151578017,42554,12.2,19.5,0.167493278,19.84879535,0.548910367,79013
0,23.5,56.5,0.056681553,28993,28.5,10.4,0.265434606,2.609951846,1,6727
0,18.6,66.1,0.096786783,37804,15.1,12.6,0.242488682,30.02852349,0.813576702,21607
48,12.5,72.3,0.384314385,75619,7.3,43,0.130553412,3.83246702,0.003903534,1632747
0,17.5,56.7,0.195530726,52917,12.8,27.5,0.104712042,71.18181818,1,1106
1,12.8,51.1,0.217019749,54171,9.6,21.3,0.116369089,37.43391813,0.706521739,37026
10,21.9,61.8,0.171312033,43444,11.7,25.9,0.1201448,58.13985575,0.197328742,225251
0,12.6,58.3,0.24047619,53233,8.4,20.9,0.083568605,157.8927203,0.823992838,44840
0,15,66.7,0.162503589,52168,9.9,14.6,0.318216005,120.4503311,0.373208169,21318
13,10.9,71.6,0.406256662,80185,6.3,39.6,0.110726737,6.815488299,0.00812216,1123231
0,21.8,45.5,0.141613588,40847,15.6,15.1,0.200439403,26.49376559,0.401930985,27301
1,10.4,66.9,0.342172734,69584,6,32.1,0.076937997,88.40593505,0.369049104,184359
29,26.8,63.7,0.182349268,45233,20.1,19.4,0.26454858,11.76211881,0.114863516,972130
1,20.8,61.6,0.153522165,39349,10.6,14.9,0.249608414,88.18081181,0.41900167,27961
6,21.4,63.6,0.135568293,42197,10.6,28,0.102356902,63.99825175,0.32961874,135383
5,24,54,0.166343753,41079,19.5,14.1,0.336565626,24.42092034,0.190914442,179806
0,11.4,73.3,0.186753802,45955,8.4,23.9,0.1237534,77.55102041,0.512660899,18251
40,23.5,61.1,0.198428956,49026,16.5,15.4,0.265818396,13.19195855,0.125105937,879497
3,22.6,51.7,0.173701689,46481,17,13.4,0.278000912,10.99169948,0.126655573,150331
2,24.7,55.7,0.119771793,35578,12.6,16,0.156006071,35.42024965,0.344049363,64446
1,16.4,35.6,0.184506027,51555,10.5,12.3,0.200502934,8.764790247,0.650118017,31333
266,18.2,69.6,0.266900577,56196,8.8,30.3,0.227186302,6.435211744,0.006994911,10112255
3,23.5,56.4,0.164901874,45073,17.5,13.3,0.292382229,23.54263128,0.393203093,154306
1,8.3,75,0.477254751,93257,3.4,55.8,0.07114612,31.12836093,0.084575683,261054
0,15.1,65.3,0.197140912,47681,9.4,22.1,0.104990137,81.13020833,1,17553
2,20.4,64.9,0.153893641,42980,11.8,23.7,0.132241382,123.9521368,0.515933834,87353
8,26.1,61,0.1523709,42462,20.1,13.1,0.321242741,17.89700665,0.152321441,267101
0,18.8,56.9,0.115353805,37860,6.9,18,0.132165132,176.212766,0.727272727,8933
0,4.9,72,0.206481859,56944,3.5,32.3,0.151186791,152.4871795,0.394767108,13885
14,17,64.8,0.256806112,58783,7.1,23.1,0.292772935,26.28919394,0.126272942,432007
3,10.3,75.2,0.341596961,71379,5.3,32.4,0.16801632,35.296875,0.175094505,141854
1,12.7,65.5,0.245578513,56521,6.6,33.7,0.061054967,189.2889813,0.464175699,98829
44,12.8,73.3,0.379459911,76509,6.2,37.7,0.157312385,38.01914467,0.001691284,3156573
5,8.9,71.5,0.360641094,73948,4.7,36.4,0.059114199,59.11074667,0.196615743,374383
1,14.5,59.3,0.15504442,47333,7.1,22,0.094678645,137.8387097,0.834318386,18401
64,16.8,65.1,0.24124182,56603,10.7,20.9,0.199130513,10.31260766,0.056511308,2352892
31,18.2,67,0.243714074,55987,12.4,28.8,0.133598996,5.984159935,0.019925099,1496644
0,10.8,71.5,0.324921503,71077,10.5,19,0.219829731,108.3608018,0.275993285,58473
58,19.5,62.9,0.21824767,53433,15.3,19,0.214367089,7.270120109,0.076139484,2122545
